keyword,target,target
ablaze,0,23
ablaze,1,13
accident,0,11
accident,1,24
aftershock,0,34
airplane%20accident,0,5
airplane%20accident,1,30
ambulance,0,18
ambulance,1,20
annihilated,0,23
annihilated,1,11
annihilation,0,19
annihilation,1,10
apocalypse,0,23
apocalypse,1,9
armageddon,0,37
armageddon,1,5
army,0,29
army,1,5
arson,0,10
arson,1,22
arsonist,0,26
arsonist,1,8
attack,0,11
attack,1,25
attacked,0,14
attacked,1,21
avalanche,0,26
avalanche,1,4
battle,0,21
battle,1,5
bioterror,0,15
bioterror,1,22
bioterrorism,0,9
bioterrorism,1,21
blaze,0,33
blaze,1,5
blazing,0,33
blazing,1,1
bleeding,0,30
bleeding,1,5
blew%20up,0,31
blew%20up,1,2
blight,0,30
blight,1,2
blizzard,0,33
blizzard,1,4
blood,0,30
blood,1,5
bloody,0,32
bloody,1,3
blown%20up,0,28
blown%20up,1,5
body%20bag,0,32
body%20bag,1,1
body%20bagging,0,28
body%20bagging,1,5
body%20bags,0,40
body%20bags,1,1
bomb,0,19
bomb,1,15
bombed,0,19
bombed,1,19
bombing,0,2
bombing,1,27
bridge%20collapse,0,6
bridge%20collapse,1,29
buildings%20burning,0,11
buildings%20burning,1,24
buildings%20on%20fire,0,5
buildings%20on%20fire,1,28
burned,0,26
burned,1,7
burning,0,24
burning,1,10
burning%20buildings,0,16
burning%20buildings,1,21
bush%20fires,0,7
bush%20fires,1,18
casualties,0,7
casualties,1,28
casualty,0,19
casualty,1,15
catastrophe,0,29
catastrophe,1,7
catastrophic,0,10
catastrophic,1,20
chemical%20emergency,0,18
chemical%20emergency,1,15
cliff%20fall,0,28
cliff%20fall,1,8
collapse,0,19
collapse,1,15
collapsed,0,22
collapsed,1,13
collide,0,31
collide,1,3
collided,0,17
collided,1,23
collision,0,10
collision,1,29
crash,0,21
crash,1,12
crashed,0,13
crashed,1,21
crush,0,33
crush,1,4
crushed,0,27
crushed,1,4
curfew,0,32
curfew,1,5
cyclone,0,13
cyclone,1,19
damage,0,22
damage,1,19
danger,0,28
danger,1,8
dead,0,23
dead,1,7
death,0,27
death,1,9
deaths,0,12
deaths,1,26
debris,1,37
deluge,0,36
deluge,1,6
deluged,0,20
deluged,1,7
demolish,0,29
demolish,1,5
demolished,0,21
demolished,1,7
demolition,0,26
demolition,1,9
derail,0,18
derail,1,17
derailed,0,12
derailed,1,26
derailment,1,39
desolate,0,22
